name,price,speed,spin,control,tackiness,weight,hardness,consistency
KTL (LKT) Pro XP,14,7.5,8.6,9.0,4.8,2.6,2.1,8.0
KTL (LKT) Pro XT,14,7.4,8.6,8.8,6.9,2.1,2.4,7.9
KTL (LKT) Rapid Speed,14,8.4,8.5,8.5,3.3,4.4,5.7,8.9
Nittaku Fastarc C-1,44,9.0,9.2,9.2,1.9,4.5,5.2,9.3
Nittaku Fastarc G-1,40,9.0,9.4,9.1,2.7,5.4,6.6,9.7
Nittaku Fastarc S-1,42,9.1,8.9,9.1,2.0,3.3,4.5,9.4
Nittaku Hammond Pro Beta,49,9.0,8.8,9.1,1.9,2.2,3.3,9.9
Nittaku Hurricane Pro III Turbo Orange,55,8.6,9.3,8.9,8.6,8.3,8.3,9.0
Nittaku Renanos Hold,40,8.9,9.4,9.1,4.1,4.8,6.0,9.4
Nittaku Sieger PK50,44,8.9,9.4,9.1,6.1,6.4,8.5,9.5
Palio AK 47 Blue,13,8.9,8.7,8.8,0.6,2.4,2.8,8.2
Palio AK 47 Red,15,9.2,8.4,8.5,0.6,2.8,6.4,8.0
Palio Macro Era,25,9.3,8.6,8.5,1.7,3.9,4.3,9.3
Palio Thors,30,8.7,9.3,8.4,6.4,6.7,8.1,9.1
Sanwei T88-I,8,8.2,8.4,8.5,4.6,9.0,8.0,7.3
Stiga Boost TC,50,8.7,8.4,8.2,2.0,2.6,1.7,7.9
Stiga Boost TS,50,8.8,8.9,8.7,2.4,2.6,1.3,8.1
Stiga Boost TX,55,9.3,9.0,8.5,2.0,3.2,5.2,8.5
Stiga Calibra LT,53,9.3,9.1,8.9,4.5,5.8,7.3,8.8
Stiga Calibra LT Sound,53,9.1,8.7,8.6,2.0,2.7,1.7,8.2
Stiga Calibra LT Spin,40,9.1,9.1,8.9,2.4,3.5,3.6,8.8
Tibhar 1Q,40,8.7,9.1,8.9,3.2,4.6,6.6,9.2
Tibhar Aurus,40,8.9,8.9,8.8,2.3,4.7,6.2,9.2
Tibhar Aurus Soft,50,8.7,9.1,8.8,2.6,4.1,4.6,9.1
Tibhar Evolution EL-P,50,9.2,9.2,9.0,2.2,5.8,5.1,9.6
Tibhar Evolution EL-S,46,8.7,9.0,8.9,2.4,6.2,5.9,8.8
Tibhar Evolution FX-P,58,8.6,9.1,8.9,2.0,5.1,2.8,9.6
Tibhar Evolution MX-P,49,9.5,9.3,8.7,2.4,6.5,7.0,9.1
Tibhar Evolution MX-S,45,9.2,9.5,9.1,2.5,6.6,7.6,9.1
Tibhar Genius,50,8.9,9.3,8.9,2.8,5.2,5.5,9.4
Tibhar Genius Sound,46,8.7,9.5,8.9,2.7,3.4,2.7,9.4
Tibhar Nianmor,80,9.3,9.2,8.1,2.8,5.0,7.3,8.6
TSP Super Ventus,34,9.2,9.5,9.4,1.5,5.8,7.0,9.5
TSP Ventus Spin,48,8.8,9.4,9.3,1.3,2.9,3.2,9.6
Victas V > 01 Limber,42,8.8,9.4,9.4,1.4,3.7,3.8,9.5
Xiom Omega IV Asia,49,9.2,9.0,8.8,2.2,4.5,7.2,9.6
Xiom Omega IV Euro,50,9.0,9.3,8.8,2.5,4.3,5.0,9.2
Xiom Omega IV Pro,60,9.3,9.3,8.8,2.4,5.5,6.8,9.3
Xiom Omega V Asia,40,9.4,9.5,9.1,2.1,5.8,7.7,9.7
Xiom Omega V Euro,49,9.1,9.3,9.1,2.1,5.4,5.6,9.6
Xiom Omega V Tour,62,9.1,9.4,9.3,1.7,5.8,6.7,9.5
Xiom Sigma 1 Euro,85,9.3,9.3,9.1,1.9,5.4,5.5,9.8
Xiom Sigma II Euro,45,9.2,9.4,9.1,1.9,5.4,4.8,10.0
